City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Svetlyy,RU,2021-03-10 02:59:01,54.675,20.1347,24.8,74,0,6.71,clear sky
79,Aykhal,RU,2021-03-10 02:49:05,66.0,111.5,-1.79,88,94,19.57,overcast clouds
80,Dwarka,IN,2021-03-10 03:00:20,22.2394,68.9678,76.73,72,0,5.46,clear sky
81,Minab,IR,2021-03-10 03:00:20,27.1467,57.0801,66.2,88,0,6.6,mist
82,Mogwase,ZA,2021-03-10 02:54:42,-25.185,27.2665,68.0,52,3,3.62,clear sky
83,Araouane,ML,2021-03-10 02:53:26,18.9048,-3.5265,69.71,24,0,12.39,clear sky
84,Half Moon Bay,US,2021-03-10 03:00:21,37.4636,-122.4286,48.2,87,90,9.22,moderate rain
85,Hanover,DE,2021-03-10 03:00:00,52.3705,9.7332,39.0,100,75,1.14,mist
86,Umea,SE,2021-03-10 03:00:21,63.8284,20.2597,-4.0,84,1,4.61,clear sky
87,Hualmay,PE,2021-03-10 03:00:22,-11.0964,-77.6139,72.59,79,99,0.67,overcast clouds
88,Puerto Penasco,MX,2021-03-10 02:58:02,31.3167,-113.5333,63.0,80,0,5.99,clear sky
89,Los Llanos De Aridane,ES,2021-03-10 03:00:22,28.6585,-17.9182,62.6,63,40,17.27,scattered clouds
90,Port Elizabeth,ZA,2021-03-10 03:00:23,-33.918,25.5701,64.4,77,0,7.45,clear sky
91,Lorengau,PG,2021-03-10 03:00:23,-2.0226,147.2712,85.37,68,73,9.28,broken clouds
92,Nikolskoye,RU,2021-03-10 03:00:24,59.7035,30.7861,-2.99,71,0,6.71,clear sky
93,Mahebourg,MU,2021-03-10 03:00:24,-20.4081,57.7,75.2,88,75,10.38,light rain
94,Strezhevoy,RU,2021-03-10 03:00:24,60.7333,77.5889,-13.0,84,0,4.47,clear sky
95,Mount Isa,AU,2021-03-10 03:00:25,-20.7333,139.5,95.0,31,27,8.05,scattered clouds
96,Norman Wells,CA,2021-03-10 03:00:26,65.282,-126.8329,3.2,60,20,5.75,few clouds
97,Miyang,CN,2021-03-10 03:00:26,24.4042,103.4428,71.04,29,10,13.78,clear sky
98,Naze,JP,2021-03-10 03:00:27,28.3667,129.4833,68.0,60,40,17.27,scattered clouds
99,Kapit,MY,2021-03-10 03:00:27,2.0167,112.9333,87.58,59,99,1.57,overcast clouds
100,Kavaratti,IN,2021-03-10 02:53:09,10.5669,72.642,83.03,71,87,8.19,overcast clouds
101,Veraval,IN,2021-03-10 03:00:28,20.9,70.3667,75.51,61,0,8.28,clear sky
102,Cape Town,ZA,2021-03-10 03:00:28,-33.9258,18.4232,66.0,94,90,19.57,heavy intensity rain
103,Tawau,MY,2021-03-10 03:00:29,4.2498,117.8871,86.0,74,20,2.3,few clouds
104,Tumarbong,PH,2021-03-10 03:00:29,10.3766,119.4579,83.19,66,28,14.92,scattered clouds
105,Egvekinot,RU,2021-03-10 03:00:30,66.3167,-179.1667,-28.25,86,4,1.63,clear sky
106,Porto Novo,BJ,2021-03-10 03:00:30,6.4965,2.6036,84.2,84,40,14.97,scattered clouds
107,Isangel,VU,2021-03-10 03:00:31,-19.55,169.2667,81.34,62,4,10.67,clear sky
108,Konstantinovka,RU,2021-03-10 03:00:31,49.6167,127.9833,28.8,93,100,15.46,overcast clouds
109,Asfi,MA,2021-03-10 02:53:38,32.2994,-9.2372,52.0,76,2,14.05,clear sky
110,Codrington,AU,2021-03-10 03:00:32,-38.2667,141.9667,66.11,59,14,12.73,few clouds
111,Brae,GB,2021-03-10 02:54:50,60.3964,-1.353,42.8,93,90,36.82,overcast clouds
112,Murree,PK,2021-03-10 03:00:33,33.9073,73.393,64.99,52,95,7.0,overcast clouds
113,Aktas,KZ,2021-03-10 02:54:35,49.7789,72.9608,30.2,86,100,31.32,snow
114,Souillac,MU,2021-03-10 03:00:34,-20.5167,57.5167,75.2,88,75,8.23,broken clouds
115,Innisfail,AU,2021-03-10 02:59:29,-17.5333,146.0333,82.4,63,36,8.43,scattered clouds
116,Kruisfontein,ZA,2021-03-10 03:00:34,-34.0033,24.7314,66.97,50,3,7.07,clear sky
117,Chuy,UY,2021-03-10 02:53:51,-33.6971,-53.4616,65.17,89,37,6.44,scattered clouds
118,Spencer,US,2021-03-10 02:57:53,43.1414,-95.1444,53.01,76,1,6.91,clear sky
119,Fortuna,US,2021-03-10 03:00:35,40.5982,-124.1573,44.01,93,90,10.36,overcast clouds
120,Barra Do Garcas,BR,2021-03-10 02:53:31,-15.89,-52.2567,70.86,91,100,0.96,overcast clouds
121,Wamba,NG,2021-03-10 02:55:16,8.9333,8.6,74.17,42,0,1.41,clear sky
122,Rawson,AR,2021-03-10 02:52:43,-43.3002,-65.1023,81.61,29,49,19.66,scattered clouds
123,Bambous Virieux,MU,2021-03-10 03:00:35,-20.3428,57.7575,77.0,88,75,10.8,light rain
124,Birobidzhan,RU,2021-03-10 03:00:36,48.8,132.95,28.8,87,99,3.62,overcast clouds
125,Ballina,AU,2021-03-10 02:53:33,-28.8667,153.5667,82.4,83,90,9.22,overcast clouds
126,Luoyang,CN,2021-03-10 03:00:36,34.6836,112.4536,54.0,99,88,5.03,overcast clouds
127,Pekan Nenas,MY,2021-03-10 03:00:37,1.51,103.5141,82.99,78,20,6.91,few clouds
128,Namatanai,PG,2021-03-10 02:54:55,-3.6667,152.4333,83.97,66,95,8.14,overcast clouds
129,Leningradskiy,RU,2021-03-10 03:00:37,69.3833,178.4167,-10.55,83,100,7.16,overcast clouds
130,Tiarei,PF,2021-03-10 03:00:38,-17.5333,-149.3333,86.0,66,75,11.5,broken clouds
131,Khambhaliya,IN,2021-03-10 03:00:38,22.2072,69.6683,69.8,94,20,3.44,mist
132,Komsomolskiy,UZ,2021-03-10 02:53:35,40.4272,71.7189,48.2,66,100,6.91,overcast clouds
133,Menongue,AO,2021-03-10 03:00:39,-14.6585,17.691,62.2,80,8,2.57,clear sky
134,Kirakira,SB,2021-03-10 02:54:53,-10.4544,161.9205,85.06,74,75,5.7,broken clouds
135,Camopi,GF,2021-03-10 03:00:39,3.1655,-52.3158,72.0,98,100,2.13,overcast clouds
136,Sao Filipe,CV,2021-03-10 03:00:40,14.8961,-24.4956,69.22,78,67,9.1,broken clouds
137,Ilulissat,GL,2021-03-10 03:00:40,69.2167,-51.1,17.6,73,90,4.45,overcast clouds
138,Alice Springs,AU,2021-03-10 03:00:21,-23.7,133.8833,91.4,33,0,8.05,clear sky
139,Tuktoyaktuk,CA,2021-03-10 03:00:41,69.4541,-133.0374,-0.4,71,75,16.11,broken clouds
140,Mar Del Plata,AR,2021-03-10 03:00:41,-38.0023,-57.5575,66.99,82,40,4.61,scattered clouds
141,Praia Da Vitoria,PT,2021-03-10 02:54:32,38.7333,-27.0667,59.0,94,20,7.49,few clouds
142,Dingle,PH,2021-03-10 02:53:44,10.9995,122.6711,83.46,65,60,15.99,broken clouds
143,Amga,RU,2021-03-10 03:00:42,60.8953,131.9608,15.39,94,100,9.62,overcast clouds
144,Salinopolis,BR,2021-03-10 03:00:42,-0.6136,-47.3561,75.87,94,100,8.1,heavy intensity rain
145,Poum,NC,2021-03-10 03:00:43,-20.2333,164.0167,79.61,70,4,4.47,clear sky
146,Saint-Philippe,RE,2021-03-10 03:00:43,-21.3585,55.7679,75.2,78,90,6.91,light rain
